round_a,date_a,round_b,date_b,common_count,common_numbers,nums_a,bonus_a,nums_b,bonus_b
79,2004-06-05,668,2015-09-19,6,3 12 14 24 27 32,3 12 24 27 30 32,14,12 14 15 24 27 32,3
195,2006-08-26,379,2010-03-06,6,10 19 22 31 35 40,7 10 19 22 35 40,31,6 10 22 31 35 40,19
230,2007-04-28,827,2018-10-06,6,5 11 12 14 29 33,5 11 14 29 32 33,12,5 11 12 29 33 44,14
328,2009-03-14,1193,2025-10-11,6,6 9 16 17 24 28,1 6 9 16 17 28,24,6 9 16 19 24 28,17
451,2011-07-23,786,2017-12-23,6,12 15 20 24 30 38,12 15 20 24 30 38,29,12 15 16 20 24 30,38
598,2014-05-17,952,2021-02-27,6,4 12 22 24 33 38,4 12 24 33 38 45,22,4 12 22 24 33 41,38
669,2015-09-26,1025,2022-07-23,6,7 8 9 20 29 33,7 8 20 29 33 38,9,8 9 20 25 29 33,7
739,2017-01-28,909,2020-05-02,6,7 29 30 33 34 35,7 22 29 33 34 35,30,7 24 29 30 34 35,33
940,2020-12-05,1110,2024-03-09,6,3 11 20 22 24 41,3 15 20 22 24 41,11,3 7 11 20 22 41,24
4,2002-12-28,258,2007-11-10,5,14 27 30 31 40,14 27 30 31 40 42,2,14 27 30 31 38 40,17
7,2003-01-18,34,2003-07-26,5,2 9 26 40 42,2 9 16 25 26 40,42,9 26 35 37 40 42,2
10,2003-02-08,1008,2022-03-26,5,9 30 33 41 44,9 25 30 33 41 44,6,9 11 30 31 41 44,33
10,2003-02-08,1125,2024-06-22,5,6 25 30 33 44,9 25 30 33 41 44,6,6 14 25 33 40 44,30
11,2003-02-15,550,2013-06-15,5,1 7 14 37 41,1 7 36 37 41 42,14,1 7 14 20 34 37,41
18,2003-04-05,839,2018-12-29,5,3 12 13 19 35,3 12 13 19 32 35,29,3 9 11 12 13 19,35
19,2003-04-12,964,2021-05-22,5,6 30 38 39 43,6 30 38 39 40 43,26,6 21 36 38 39 43,30
21,2003-04-26,777,2017-10-21,5,6 12 17 18 21,6 12 17 18 31 32,21,6 12 17 21 34 37,18
21,2003-04-26,1048,2022-12-31,5,6 12 17 21 32,6 12 17 18 31 32,21,6 12 17 21 32 39,30
30,2003-06-28,491,2012-04-28,5,4 8 17 35 36,8 17 20 35 36 44,4,8 17 35 36 39 42,4
33,2003-07-19,507,2012-08-18,5,4 32 33 40 41,4 7 32 33 40 41,9,12 13 32 33 40 41,4
35,2003-08-02,278,2008-03-29,5,3 11 37 39 43,2 3 11 26 37 43,39,3 11 37 39 41 43,13
40,2003-09-06,794,2018-02-17,5,6 7 13 18 19,7 13 18 19 25 26,6,6 7 18 19 30 38,13
44,2003-10-04,368,2009-12-19,5,11 21 30 39 45,3 11 21 30 38 45,39,11 21 24 30 39 45,26
46,2003-10-18,607,2014-07-19,5,8 13 23 38 39,8 13 15 23 31 38,39,8 14 23 36 38 39,13
47,2003-10-25,887,2019-11-30,5,14 17 27 36 45,14 17 26 31 36 45,27,8 14 17 27 36 45,10
49,2003-11-08,752,2017-04-29,5,4 7 16 33 40,4 7 16 19 33 40,30,4 16 20 33 40 43,7
